id,city,country,month,name,series,state,year,date,cun,location_type,location_path,latitude,longitude
xian_rlf,Xian,China,January,Xian Blue,rlf,,2014,2014-01-01,Xi'an,city,"Xian, China",35.000074,104.999927
xian_yah,Xi'an,China,September,Xi'an,yah,,2017,2017-09-01,Xi'an,city,"Xi'an, China",35.000074,104.999927
xiangyang_icon,Xiangyang,China,January,Xiangyang,icon,,2016,2016-01-01,Xiangyang,city,"Xiangyang, China",32.0189235,112.1463759
xiangyang_yah,Xiangyang,China,September,Xiangyang,yah,,2019,2019-09-01,Xiangyang,city,"Xiangyang, China",32.0189235,112.1463759
xining_icon,Xining,China,January,Xining,icon,,2015,2015-01-01,Xining,city,"Xining, China",36.6225321,101.7721957
xining_yah,Xining,China,January,Xining,yah,,2019,2019-01-01,Xining,city,"Xining, China",36.6225321,101.7721957
yangzhou_rlf,Yangzhou,China,November,Yangzhou Blue,rlf,,2016,2016-11-01,Yangzhou,city,"Yangzhou, China",32.3926973,119.4365759
yantai_yah,Yantai,China,December,Yantai,yah,,2018,2018-12-01,Yantai,city,"Yantai, China",37.461928,121.4425255
yaroslavl_icon,Yaroslavl,Russia,January,Yaroslavl,icon,,2014,2014-01-01,Yaroslavl,city,"Yaroslavl, Russia",57.6263877,39.8933705
yekaterinburg_icon,Yekaterinburg,Russia,January,Yekaterinburg,icon,,2014,2014-01-01,Yekaterinburg,city,"Yekaterinburg, Russia",56.839104,60.60825
yibin_yah,Yibin,China,November,Yibin,yah,,2018,2018-11-01,Yibin,city,"Yibin, China",28.5566979,104.765166925242
yichang_icon,Yichang,China,January,Yichang,icon,,2014,2014-01-01,Yichang,city,"Yichang, China",30.7031196,111.2750181
yichang_yah,Yichang,China,November,Yichang,yah,,2018,2018-11-01,Yichang,city,"Yichang, China",30.7031196,111.2750181
yinchuan_icon,Yinchuan,China,January,Yinchuan,icon,,2016,2016-01-01,Yinchuan,city,"Yinchuan, China",38.466667,106.316667
